outfit_id,gender,style,season,tags,new_style,style_id
64453,F,스트릿,가을,"가을,반팔티셔츠,스트릿",F_스트릿,0
68758,F,캐주얼,봄,"스니커즈,캐주얼,나이키,봄",F_캐주얼,1
71478,F,캐주얼,여름,"여름,워커,셔츠,레더스커트,캐주얼",F_캐주얼,1
71480,F,로맨틱,여름,"로맨틱,여름,슬리브리스,스니커즈,숄더백,나이키,트랙팬츠",F_로맨틱,2
71482,M,스트릿,여름,"여름,스트릿,비니,데님팬츠,크로스백,스니커즈,나이키,베스트",M_스트릿,3
71483,F,걸리시,여름,"여름,걸리시,아디다스,피케이,숄더백,반팔티셔츠,샌들,스커트",F_걸리시,4
71485,M,스트릿,여름,"여름,스트릿,스니커즈,반팔셔츠,트랙팬츠",M_스트릿,3
71486,M,스트릿,여름,"여름,스트릿,비니,데님팬츠,크로스백,스니커즈,반팔티셔츠",M_스트릿,3
71487,M,캐주얼,여름,"여름,비니,슬랙스,스니커즈,반팔티셔츠,타미힐피거,캐주얼",M_캐주얼,5
71488,F,캐주얼,여름,"여름,크로스백,카고팬츠,스니커즈,나이키,스웨트셔츠,캐주얼",F_캐주얼,1
71491,M,스트릿,여름,"여름,스트릿,워커,크로스백,닥터마틴,반팔티셔츠,점프수트",M_스트릿,3
71494,F,캐주얼,여름,"여름,카디건,스니커즈,숄더백,치노팬츠,캐주얼",F_캐주얼,1
71495,M,스트릿,여름,"여름,스트릿,데님팬츠,첼시부츠,버킷햇",M_스트릿,3
71497,M,스트릿,여름,"데우스엑스마키나,여름,스트릿,데님팬츠,스니커즈,긴소매티셔츠,두건",M_스트릿,3
71498,F,스트릿,여름,"여름,스트릿,니트,크로스백,스니커즈,치노팬츠",F_스트릿,0
71502,F,걸리시,여름,"여름,걸리시,로퍼,숄더백,블라우스,스커트",F_걸리시,4
71503,F,걸리시,여름,"여름,플랫슈즈,걸리시,원피스,블라우스",F_걸리시,4
71505,F,캐주얼,여름,"여름,슬랙스,워커,숄더백,블라우스,캐주얼",F_캐주얼,1
71507,F,캐주얼,여름,"여름,니트,데님팬츠,스니커즈,캐주얼,버킷햇",F_캐주얼,1
71509,M,스트릿,여름,"여름,스트릿,워커,볼캡,반팔티셔츠,플리츠",M_스트릿,3
71514,M,스트릿,여름,"여름,스트릿,데님팬츠,셔츠,스니커즈,하와이언",M_스트릿,3
71515,F,스트릿,여름,"여름,스트릿,비니,스니커즈,반팔티셔츠,치노팬츠",F_스트릿,0
71517,F,캐주얼,여름,"여름,캐주얼,스커트,후드집업,웨스턴부츠",F_캐주얼,1
71518,M,스트릿,여름,"여름,스트릿,조거팬츠,스니커즈,반팔티셔츠,컨버스",M_스트릿,3
71520,M,스트릿,여름,"뉴에라,여름,스트릿,워커,데님팬츠,반팔티셔츠",M_스트릿,3
71521,M,캐주얼,여름,"여름,워커,치노팬츠,캐주얼,트러커",M_캐주얼,5
71522,F,캐주얼,여름,"블레이저,여름,워커,크로스백,캐주얼,크롭탑",F_캐주얼,1
71527,M,캐주얼,여름,"여름,워커,데님팬츠,트러커재킷,캐주얼",M_캐주얼,5
71528,F,스트릿,여름,"블레이저,여름,스트릿,데님팬츠,스니커즈,숄더백,나이키",F_스트릿,0
71530,M,캐주얼,여름,"블레이저,여름,데님팬츠,첼시부츠,캐주얼",M_캐주얼,5
71531,M,캐주얼,여름,"블레이저,여름,니트,데님팬츠,첼시부츠,캐주얼",M_캐주얼,5
71532,F,캐주얼,여름,"여름,니트,데님팬츠,시스루,스니커즈,숄더백,나이키,캐주얼",F_캐주얼,1
71533,M,스트릿,여름,"여름,스트릿,데님팬츠,스니커즈,긴소매티셔츠,엠엠엘지,나이키,베레",M_스트릿,3
71534,F,캐주얼,여름,"여름,워커,볼캡,오버롤,숄더백,캐주얼",F_캐주얼,1
71538,F,스트릿,여름,"여름,스트릿,데님팬츠,스니커즈,숄더백,나이키,반팔티셔츠,베이프",F_스트릿,0
71541,M,스트릿,여름,"여름,스트릿,데님팬츠,스니커즈,나이키,반팔티셔츠",M_스트릿,3
71543,F,캐주얼,여름,"여름,데님팬츠,크로스백,스니커즈,반팔티셔츠,캐주얼,컨버스",F_캐주얼,1
71554,F,걸리시,여름,"여름,걸리시,니트,워커,스커트",F_걸리시,4
71555,M,캐주얼,여름,"여름,데님팬츠,반스,스니커즈,백팩,반팔티셔츠,캐주얼",M_캐주얼,5
71563,M,스트릿,여름,"여름,스트릿,슬랙스,워커,셔츠",M_스트릿,3
71564,M,스트릿,여름,"여름,스트릿,카고팬츠,셔츠,스니커즈",M_스트릿,3
71565,M,스트릿,여름,"유니폼,나이키,여름,스트릿",M_스트릿,3
71568,M,스트릿,여름,"여름,스트릿,카고팬츠,스니커즈,필루미네이트,숄더백,반팔티셔츠",M_스트릿,3
71571,M,스트릿,여름,"엑스디디자인,여름,스트릿,슬랙스,스니커즈,백팩,반팔티셔츠,논메인스트리머",M_스트릿,3
71572,F,걸리시,여름,"여름,걸리시,스니커즈,원피스,숄더백",F_걸리시,4
71575,F,캐주얼,여름,"여름,스니커즈,반팔티셔츠,캐주얼,스커트",F_캐주얼,1
71576,M,캐주얼,여름,"여름,크로스백,캠프캡,스니커즈,조거팬츠,나이키,반팔티셔츠,캐주얼",M_캐주얼,5
71582,M,아메리칸캐주얼,여름,"워커,점프수트,여름,아메리칸캐주얼",M_아메리칸캐주얼,6
71586,F,걸리시,여름,"여름,걸리시,카디건,스니커즈,원피스",F_걸리시,4
71592,M,캐주얼,여름,"여름,첼시부츠,반팔티셔츠,치노팬츠,캐주얼",M_캐주얼,5
71596,M,스트릿,여름,"여름,스트릿,워커,닥터마틴,레더팬츠,블루종",M_스트릿,3
71597,M,스트릿,여름,"여름,스트릿,데님팬츠,볼캡,재킷,스니커즈,스타디움,커버낫",M_스트릿,3
71600,F,캐주얼,여름,"여름,데님팬츠,크로스백,셔츠,스니커즈,캐주얼",F_캐주얼,1
71603,M,캐주얼,여름,"여름,슬랙스,스니커즈,반팔티셔츠,캐주얼,버킷햇",M_캐주얼,5
71604,M,스트릿,여름,"내셔널지오그래픽,여름,스트릿,크로스백,스니커즈,반팔티셔츠,디스트로이드",M_스트릿,3
71605,F,걸리시,여름,"티셔츠,여름,걸리시,데님팬츠,스니커즈,컨버스",F_걸리시,4
71606,M,스트릿,여름,"여름,스트릿,볼캡,데님팬츠,반스,스니커즈,반팔티셔츠",M_스트릿,3
71610,F,스트릿,여름,"여름,스트릿,크로스백,스니커즈,캉골,플리츠",F_스트릿,0
71611,F,캐주얼,여름,"여름,니트,크로스백,스니커즈,캐주얼,스커트",F_캐주얼,1
71614,M,스트릿,여름,"여름,스트릿,비니,크로스백,반팔티셔츠,샌들,와이드팬츠",M_스트릿,3
71616,F,캐주얼,여름,"여름,슬랙스,스니커즈,캐주얼,크롭탑",F_캐주얼,1
71617,F,캐주얼,여름,"여름,크로스백,닥터마틴,원피스,부츠,캐주얼",F_캐주얼,1
71619,M,스트릿,여름,"팔렛,여름,스트릿,스니커즈,반팔티셔츠,치노팬츠",M_스트릿,3
71622,F,캐주얼,여름,"팔렛,여름,크로스백,스니커즈,반팔티셔츠,캐주얼,스커트",F_캐주얼,1
71624,F,스트릿,여름,"팔렛,여름,스트릿,워커,반팔티셔츠,스커트",F_스트릿,0
